Oh,oh,79.43,79.66000000000001
interesting,interesting,79.66,80.39
I,i,80.67,80.69
was,was,80.69,80.72
visiting,visiting,80.72,81.01
my,my,81.01,81.13000000000001
aunt,aunt,81.13,81.31
and,and,81.309999,81.379999
uncle,uncle,81.38,81.67
there,there,81.67,81.99
What,what,82.4,82.59
did,did,82.59,82.71000000000001
you,you,82.71000000000001,82.81
do,do,82.809999,82.969999
together,together,82.969999,83.499999
How,how,86.5,86.66
is,is,86.66,86.78
your,your,86.78,86.91
family,family,86.91,87.3
doing,doing,87.299999,87.709999
Great,great,88.889999,89.269999
My,my,89.309999,89.499999
sister,sister,89.5,89.81
had,had,89.809999,89.95999900000001
her,her,89.959999,90.049999
baby,baby,90.049999,90.579999
Aww,,,
Here's,here's,92.04,92.25
a,a,92.25,92.34
photo,photo,92.34,92.68
Isn't,isn't,92.68,92.94000000000001
she,she,92.94,93.11
cute,cute,93.11,93.52
Yes,yes,93.92,94.09
What's,what's,94.44,94.64999999999999
her,her,94.65,94.77000000000001
name,name,94.77,95.25
